time,total_packets,active_flows,hit_rate
0,1,0,1
30,158,29,0.810126582
60,291,33,0.821305842
90,349,20,0.813753582
120,461,21,0.830802603
150,595,26,0.830252101
180,759,39,0.824769433
210,876,25,0.829908676
240,934,25,0.814775161
270,1030,30,0.805825243
300,1162,41,0.794320138
330,1267,14,0.800315706
360,1360,21,0.802205882
390,1409,22,0.79418027
420,1499,24,0.795196798
450,1585,15,0.797476341
480,1715,44,0.788338192
510,1828,19,0.7904814
540,1890,28,0.780952381
570,1955,40,0.768286445
600,2103,16,0.776034237
630,2156,22,0.771799629
660,2295,21,0.776470588
690,2372,29,0.774030354
720,2437,24,0.776364382
750,2560,15,0.783203125
780,2601,11,0.783160323
810,2662,11,0.78324568
840,2700,12,0.782592593
870,2775,17,0.784144144
900,2875,12,0.787478261
930,2971,14,0.788959946
960,3051,22,0.788593904
990,3084,17,0.787289235
1020,3167,22,0.788127566
1050,3315,18,0.794570136
1080,3420,26,0.795614035
1110,3801,85,0.796632465
1140,4016,70,0.790836653
1170,4084,14,0.792360431
1200,4204,27,0.792340628
1230,4277,9,0.794014496
1260,4355,17,0.794029851
1290,4444,16,0.794554455
1320,4491,18,0.792696504
1350,4597,21,0.793343485
1380,4723,18,0.795257252
1410,4809,33,0.792680391
1440,4893,16,0.792356428
1470,4981,18,0.7922104
1500,5032,16,0.791732909
1530,5098,15,0.791486858
1560,5201,22,0.791578543
1590,5243,6,0.791913027
1620,5303,9,0.792947388
1650,5340,9,0.792696629
1680,5405,14,0.792599445
1710,5540,11,0.796209386
1740,5792,22,0.80179558
1770,5891,15,0.802580207
1800,5985,30,0.800835422
1830,6041,16,0.800529714
1860,6135,16,0.800977995
1890,6251,17,0.802271637
1920,6331,24,0.80161112
1950,6407,11,0.8025597
1980,6425,5,0.80233463
2010,6454,9,0.801518438
2040,6486,17,0.799876657
2070,6595,17,0.80106141
2100,6697,33,0.799462446
2130,6772,24,0.798287064
2160,6844,31,0.796756283
2190,6912,26,0.795572917
2220,6967,22,0.794459595
2250,7076,12,0.796495195
2280,7117,14,0.796121962
2310,7220,42,0.793074792
2340,7289,29,0.791466593
2370,7332,20,0.790234588
2400,7399,18,0.789701311
2430,7473,21,0.787367858
2460,7558,32,0.785657581
2490,7623,24,0.784468057
2520,7673,22,0.783656979
2550,7720,15,0.783160622
2580,7805,38,0.781294042
2610,7827,9,0.781014437
2640,7858,12,0.780605752
2670,7915,27,0.778774479
2700,8010,33,0.777652934
2730,8054,21,0.776881053
2760,8140,24,0.776535627
2790,8209,21,0.776099403
2820,8283,17,0.775926597
2850,8311,10,0.775718927
2880,8385,23,0.77543232
2910,8441,15,0.775263594
2940,8612,44,0.77554575
2970,8752,40,0.776965265
3000,8797,13,0.776742071
3030,8815,5,0.776290414
3060,8875,28,0.774535211
3090,8975,39,0.773593315
3120,9012,13,0.772858411
3150,9047,8,0.772631812
3180,9123,25,0.771566371
3210,9221,32,0.770523804
3240,9293,11,0.771225654
3270,9632,22,0.777200997
3300,9717,26,0.777091695
3330,9827,18,0.777755164
3360,9873,18,0.776967487
3390,10159,25,0.780883945
3420,10313,33,0.78163483
3450,10349,10,0.781911296
3480,10513,23,0.783315895
3510,10643,21,0.784647186
3540,11190,13,0.794548704
3570,12054,29,0.807200929
3600,12275,20,0.809857434
3630,12325,7,0.810060852
3660,12351,8,0.809570075
3690,12910,16,0.816498838
3720,13175,34,0.817988615
3750,13246,22,0.816925864
3780,13287,19,0.815910288
3810,13599,10,0.81932495
3840,14138,35,0.824020371
3870,14246,24,0.823739997
3900,14309,16,0.823677406
3930,14339,14,0.823069949
3960,15006,22,0.829601493
3990,15200,14,0.830723684
4020,15257,9,0.830569575
4050,15354,17,0.830663019
4080,15753,23,0.833745953
4110,15775,8,0.833470681
4140,15832,10,0.833628095
4170,15941,45,0.832068252
4200,16041,7,0.83261642
4230,16106,16,0.832112256
4260,16148,15,0.831743869
4290,16392,31,0.832418253
4320,16481,67,0.829379285
4350,16505,8,0.829263859
4380,16550,13,0.828942598
4410,16742,20,0.829829172
4440,16775,13,0.829448584
4470,16814,14,0.829130486
4500,16840,9,0.828800475
4530,16889,17,0.828290603
4560,16903,6,0.828018695
4590,16989,8,0.828300665
4620,17067,9,0.828733814
4650,17125,15,0.82849635
4680,17173,13,0.828451639
4710,17198,5,0.828352134
4740,17261,27,0.827472336
4770,17309,18,0.827141949
4800,17384,16,0.826967326
4830,17403,11,0.826524163
4860,17425,6,0.826398852
4890,17441,6,0.826156757
4920,17473,9,0.825960053
4950,17501,12,0.825438546
4980,17545,9,0.825363351
5010,17575,13,0.824978663
5040,17607,10,0.824672005
5070,17664,18,0.824275362
5100,17689,17,0.823732263
5130,17720,13,0.823306998
5160,17755,13,0.823035765
5190,17809,13,0.822898534
5220,17867,13,0.822857783
5250,17936,8,0.82309322
5280,17980,7,0.823136819
5310,18029,11,0.823118309
5340,18068,22,0.822227142
5370,18086,11,0.821740573
5400,18107,11,0.821395041
5430,18149,9,0.820485977
5460,18155,2,0.820435142
5490,18210,17,0.819934102
5520,18276,16,0.819708908
5550,18335,30,0.81870739
5580,18413,14,0.818660729
5610,18469,13,0.818831556
5640,18567,34,0.818172026
5670,18627,12,0.818542975
5700,18670,14,0.818371719
5730,18733,17,0.818128436
5760,18779,21,0.817668672
5790,18837,13,0.817752296
5820,18861,12,0.817613064
5850,18879,8,0.817575083
5880,18923,15,0.81725942
5910,18997,10,0.816760541
5940,19054,12,0.816573948
5970,19121,9,0.816745986
6000,19210,21,0.816710047
6030,19262,8,0.817049112
6060,19340,16,0.817218201
6090,19452,29,0.816676948
6120,19527,16,0.816766528
6150,19633,15,0.817144603
6180,19711,9,0.817563797
6210,19807,49,0.816075125
6240,19878,14,0.816279304
6270,19971,19,0.816333684
6300,20060,25,0.816151545
6330,20170,20,0.816360932
6360,20222,16,0.816140837
6390,20279,6,0.816559002
6420,20382,23,0.816406633
6450,20450,15,0.816577017
6480,20536,16,0.816906895
6510,20644,13,0.817622554
6540,20743,15,0.818203731
6570,20846,13,0.818622278
6600,20899,14,0.818508063
6630,20953,22,0.817830382
6660,21025,7,0.817312723
6690,21083,16,0.817056396
6720,21107,8,0.816980149
6750,21133,15,0.81640089
6780,21159,10,0.816201144
6810,21189,15,0.815847846
6840,21218,12,0.815486851
6870,21253,15,0.815084929
6900,21291,7,0.814851346
6930,21328,16,0.814328582
6960,21351,9,0.814107068
6990,21405,7,0.814249007
7020,21454,13,0.814067307
7050,21491,5,0.814154762
7080,21552,14,0.814123979
7110,21651,14,0.814281096
7140,21698,10,0.814314683
7170,21761,14,0.814208906
7200,21799,10,0.814119914
7230,21845,10,0.813870451
7260,21900,23,0.813424658
7290,21968,21,0.812955208
7320,21999,13,0.81258239
7350,22058,9,0.812630338
7380,22114,16,0.812426517
7410,22176,17,0.812184343
7440,22225,7,0.812283465
7470,22247,15,0.811839799
7500,22305,19,0.811566913
7530,22363,14,0.811384877
7560,22397,22,0.810599634
7590,22442,14,0.810355583
7620,22499,10,0.810169341
7650,22569,12,0.810182108
7680,22666,13,0.810420895
7710,22721,12,0.810263633
7740,22758,18,0.809825116
7770,22812,4,0.810099947
7800,22840,11,0.809807356
7830,22886,14,0.809534213
7860,22925,13,0.809291167
7890,22971,9,0.809194201
7920,23040,14,0.809114583
7950,23126,12,0.809348785
7980,23161,14,0.808816545
8010,23237,18,0.808753281
8040,23305,16,0.808238575
8070,23484,49,0.807656277
8100,23545,7,0.807772351
8130,23597,20,0.807306013
8160,23649,27,0.806630301
8190,23692,9,0.806601384
8220,23729,22,0.805933668
8250,23809,18,0.80591373
8280,23856,5,0.806212274
8310,23965,35,0.805800125
8340,24028,16,0.805809888
8370,24066,9,0.805742541
8400,24076,1,0.805781691
8430,24106,9,0.805276695
8460,24148,13,0.805159848
8490,24162,6,0.804941644
8520,24196,6,0.804926434
8550,24223,10,0.804689758
8580,24248,3,0.804726163
8610,24266,4,0.804706173
8640,24314,13,0.804515917
8670,24340,8,0.804313887
8700,24367,12,0.804079288
8730,24418,13,0.803874191
8760,24447,6,0.803697795
8790,24514,9,0.803867178
8820,24565,5,0.803582333
8850,24641,26,0.80313299
8880,24680,15,0.802876823
8910,24737,17,0.802724663
8940,24820,28,0.802457695
8970,24867,10,0.802469136
9000,24946,12,0.802573559
9030,25002,15,0.802615791
9060,25085,16,0.802631054
9090,25108,8,0.802413573
9120,25162,13,0.80232096
9150,25178,11,0.801969974
9180,25211,5,0.801991194
9210,25258,22,0.801528229
9240,25368,25,0.801442763
9270,25439,17,0.800935571
9300,25524,25,0.800619025
9330,25595,4,0.800937683
9360,25623,4,0.800960075
9390,25683,18,0.800724214
9420,25763,18,0.800954858
9450,25781,5,0.800938676
9480,25835,12,0.800890265
9510,25879,9,0.801035589
9540,25927,7,0.801056813
9570,25977,25,0.80043885
9600,26045,14,0.800652716
9630,26099,17,0.800183915
9660,26166,15,0.800084079
9690,26219,13,0.800221214
9720,26278,19,0.799946723
9750,26329,13,0.79984048
9780,26376,14,0.79985593
9810,26421,27,0.799212747
9840,26474,10,0.799312533
9870,26597,23,0.799526262
9900,26639,9,0.799504486
9930,26710,36,0.798689629
9960,26765,19,0.798542873
9990,26790,9,0.798394923
10020,26891,32,0.797999331
10050,26959,22,0.79787826
10080,27015,18,0.797779012
10110,27144,32,0.797782199
10140,27212,14,0.798103778
10170,27252,20,0.79777631
10200,27351,19,0.797886732
10230,27379,7,0.797910808
10260,27431,20,0.797637709
10290,27521,21,0.797645434
10320,27573,13,0.797664382
10350,27631,20,0.797437661
10380,27687,9,0.797522303
10410,27738,14,0.797389862
10440,27774,10,0.797328437
10470,27798,15,0.796927837
10500,27816,9,0.796735692
10530,27927,19,0.796075483
10560,27960,16,0.795708155
10590,28010,15,0.795501607
10620,28034,13,0.795177285
10650,28105,21,0.794840776
10680,28126,9,0.794602859
10710,28166,11,0.794468508
10740,28222,7,0.794663738
10770,28256,12,0.794486127
10800,28344,13,0.794630257
10830,28429,13,0.794787013
10860,28500,15,0.794736842
10890,28580,9,0.79510147
10920,28622,9,0.795052757
10950,28658,11,0.794996162
10980,28699,9,0.794905746
11010,28743,14,0.794732631
11040,28777,13,0.794592904
11070,28842,15,0.794709105
11100,28915,17,0.794743213
11130,29004,16,0.794786926
11160,29077,20,0.794751866
11190,29130,24,0.794370065
11220,29153,10,0.794120674
11250,29248,32,0.793832057
11280,29292,13,0.79397105
11310,29329,11,0.793992294
11340,29394,19,0.793869497
11370,29425,10,0.793882753
11400,29443,11,0.793635159
11430,29491,15,0.793496321
11460,29536,13,0.793404659
11490,29595,25,0.793073154
11520,29627,7,0.79312789
11550,29708,21,0.793018715
11580,29743,12,0.792993309
11610,29786,10,0.792989995
11640,29806,11,0.792726297
11670,29832,10,0.792605256
11700,29903,35,0.792027556
11730,29940,24,0.791349365
11760,30000,22,0.791033333
11790,30024,10,0.79093392
11820,30094,43,0.790124277
11850,30113,8,0.790090659
11880,30179,13,0.790118957
11910,30246,15,0.790087946
11940,30291,19,0.789838566
11970,30402,22,0.790145385
12000,30466,19,0.790290816
12030,30527,24,0.790120221
12060,30664,21,0.790405687
12090,30725,18,0.790496338
12120,30790,13,0.790613836
12150,30820,4,0.790590526
12180,30851,9,0.790476808
12210,30950,23,0.790468498
12240,30965,6,0.790376231
12270,31008,10,0.790279928
12300,31068,19,0.7900412
12330,31104,7,0.790027006
12360,31145,25,0.789500722
12390,31161,7,0.789448349
12420,31208,12,0.789380928
12450,31240,19,0.789052497
12480,31270,13,0.788839143
12510,31366,23,0.788847797
12540,31402,19,0.788644035
12570,31448,15,0.788603409
12600,31469,5,0.788585592
12630,31710,24,0.789403974
12660,31818,43,0.788861651
12690,31852,5,0.788930051
12720,31945,22,0.788855846
12750,31984,11,0.78880065
12780,32008,9,0.788646588
12810,32067,17,0.788411763
12840,32105,6,0.788537611
12870,32135,19,0.78811265
12900,32260,31,0.787972722
12930,32295,16,0.787676111
12960,32356,26,0.787303746
12990,32416,5,0.787481491
13020,32497,23,0.787303443
13050,32618,30,0.78741799
13080,32670,11,0.78745026
13110,32767,20,0.7874691
13140,32846,20,0.787462705
13170,32882,22,0.787056748
13200,32979,34,0.786743079
13230,33097,30,0.786566758
13260,33171,15,0.786711284
13290,33246,29,0.786410395
13320,33298,12,0.786323503
13350,33326,19,0.785962912
13380,33428,29,0.785748474
13410,33494,10,0.785872096
13440,33554,19,0.785599332
13470,33603,15,0.785465583
13500,33651,32,0.784820659
13530,33715,18,0.7847249
13560,33810,40,0.784146702
13590,33905,24,0.784191122
13620,33953,7,0.784172238
13650,34013,17,0.784023756
13680,34091,19,0.783989909
13710,34226,60,0.783293403
13740,34329,29,0.783419267
13770,34494,34,0.783875457
13800,34662,61,0.783768969
13830,34807,35,0.784267532
13860,34924,36,0.784303058
13890,35012,42,0.783816977
13920,35120,27,0.78405467
13950,35224,18,0.784521917
13980,35318,17,0.784783963
14010,35412,10,0.785242291
14040,35546,18,0.785686153
14070,35663,10,0.786221013
14100,35739,23,0.786143988
14130,35794,27,0.785885903
14160,35828,10,0.785726248
14190,35907,29,0.785473585
14220,36011,21,0.785593291
14250,36095,23,0.785704391
14280,36189,24,0.785818895
14310,36369,27,0.786384008
14340,36444,16,0.786274833
14370,36466,11,0.786047277
14400,36515,13,0.785978365
14430,36555,20,0.78563808
14460,36587,17,0.785333588
14490,36652,30,0.784950344
14520,36714,31,0.784877703
14550,36824,49,0.784515533
14580,36937,32,0.784470856
14610,37016,35,0.784282472
14640,37109,30,0.784203293
14670,37156,10,0.784260954
14700,37250,43,0.783704698
14730,37392,38,0.783697047
14760,37455,32,0.783420104
14790,37522,38,0.782980651
14820,37662,41,0.782884605
14850,37738,28,0.782950872
14880,37769,14,0.782784824
14910,37905,50,0.782271468
14940,38041,49,0.78210352
14970,38142,30,0.782234807
15000,38260,22,0.782592786
15030,38383,27,0.782690253
15060,38457,24,0.782510336
15090,38521,30,0.782456323
15120,38556,19,0.782238821
15150,38689,47,0.781695055
15180,38808,39,0.781720264
15210,38857,31,0.781480814
15240,38897,15,0.781397023
15270,38938,12,0.781370384
15300,39028,32,0.781182741
15330,39111,25,0.781186878
15360,39185,26,0.781140743
15390,39257,34,0.780828897
15420,39287,16,0.780741721
15450,39410,30,0.780740929
15480,39439,10,0.780648597
15510,39488,14,0.780616896
15540,39526,15,0.780423013
15570,39549,6,0.780424284
15600,39586,10,0.780351639
15630,39617,12,0.780195371
15660,39707,46,0.779484726
