time,total_packets,active_flows,hit_rate
0,1,0,1.0
100,435,69,0.8413793103448276
200,851,72,0.8648648648648649
300,1150,97,0.8356521739130435
400,1410,56,0.8390070921985816
500,1721,80,0.832074375363161
600,1988,98,0.8189134808853119
700,2323,55,0.8303917348256564
800,2596,44,0.8370570107858244
900,2770,37,0.8375451263537906
1000,3060,48,0.8418300653594771
1100,3357,50,0.8471849865951743
1200,4057,160,0.839043628296771
1300,4351,55,0.8404964376005516
1400,4614,52,0.8409189423493715
1500,4941,72,0.8397085610200364
1600,5154,41,0.8414823438106325
1700,5338,28,0.8424503559385538
1800,5806,45,0.8484326558732346
1900,6083,67,0.8464573401282262
2000,6371,47,0.8485324124941139
2100,6473,32,0.8465935424069211
2200,6762,70,0.8448683821354629
2300,6986,75,0.8402519324363011
2400,7251,75,0.8376775617156255
2500,7463,80,0.833444995310197
2600,7675,75,0.8312703583061889
2700,7831,54,0.8311837568637467
2800,8041,70,0.8286282800646686
2900,8280,60,0.8286231884057971
3000,8464,46,0.8280954631379962
3100,8807,70,0.8284319291472693
3200,9002,77,0.8261497445012219
3300,9213,66,0.8252469336806686
3400,9717,56,0.8306061541628075
3500,10217,56,0.8349809141626701
3600,10561,62,0.8364738187671622
3700,12267,48,0.8569332355099046
3800,12882,38,0.8615898152460798
3900,13293,83,0.8606785526216806
4000,14299,68,0.8667739002727464
4100,15198,48,0.87248322147651
4200,15744,44,0.8751905487804879
4300,15972,61,0.8738417230152767
4400,16151,41,0.8731347904154542
4500,16513,102,0.8702234603040029
4600,16810,46,0.8710291493158834
4700,16903,34,0.8702005561142993
4800,17136,31,0.8706816059757236
4900,17298,47,0.8697537287547693
5000,17424,35,0.8693181818181818
5100,17494,23,0.868926489081971
5200,17600,30,0.8680113636363637
5300,17726,49,0.8664673361164391
5400,17903,38,0.8661118248338268
5500,18057,39,0.8657030514481918
5600,18149,42,0.8639594468014766
5700,18286,40,0.8631740129060483
5800,18508,59,0.8622217419494272
5900,18733,39,0.8620616025196178
6000,18866,36,0.8616558889006679
6100,19007,46,0.8608933550797074
6200,19225,37,0.860962288686606
6300,19486,55,0.860463922816381
6400,19783,71,0.859424758631148
6500,20047,52,0.8596797525814336
6600,20279,36,0.8601508950145471
6700,20562,41,0.8606653049314269
6800,20869,33,0.861708754612104
6900,21025,55,0.860499405469679
7000,21139,38,0.8597379251620229
7100,21226,39,0.8590407990200697
7200,21335,38,0.8581204593391142
7300,21485,30,0.8579008610658599
7400,21698,37,0.858051433311826
7500,21845,37,0.8576333257038223
7600,22018,59,0.8569352348078845
7700,22197,39,0.8569176014776771
7800,22361,47,0.8565359330978042
7900,22499,53,0.8555491355171341
8000,22721,35,0.8559042295673606
8100,22841,35,0.8555229630926842
8200,23008,39,0.8551373435326843
8300,23226,45,0.8552484284853181
8400,23509,82,0.8543111148921689
8500,23687,55,0.8540971841094271
8600,23852,45,0.8539325842696629
8700,24068,56,0.8533322253614758
8800,24156,35,0.852997184964398
8900,24244,22,0.8528295660782049
9000,24334,25,0.8526341744061806
9100,24442,41,0.851935193519352
9200,24620,43,0.8516653127538587
9300,24820,54,0.8510072522159549
9400,25006,34,0.8509957610173559
9500,25165,39,0.8506656069938406
9600,25342,52,0.8500512982400757
9700,25595,55,0.8498925571400664
9800,25764,33,0.8501009160068312
9900,25907,24,0.8503107268305863
10000,26091,57,0.8496033114867195
10100,26259,35,0.8496515480406718
10200,26421,53,0.8490594602778093
10300,26649,38,0.8494502607977785
10400,26838,70,0.8484238765928906
10500,27125,59,0.8487741935483871
10600,27349,46,0.8492083805623606
10700,27530,43,0.8493643298220124
10800,27696,41,0.8492201039861352
10900,27803,35,0.8488292630291695
11000,27966,71,0.8473145962955017
11100,28117,51,0.8466408222783369
11200,28247,30,0.8465677771090735
11300,28500,44,0.846701754385965
11400,28677,34,0.8468807755344004
11500,28788,35,0.8468806447130749
11600,29014,44,0.846970428069208
11700,29192,55,0.8465675527541793
11800,29376,47,0.8465073529411765
11900,29487,33,0.8463051514226608
12000,29640,43,0.8457827260458839
12100,29789,40,0.8456141528752223
12200,29934,66,0.8442573662056524
12300,30086,68,0.8430499235524829
12400,30246,37,0.8431197513720823
12500,30476,45,0.8432208951305946
12600,30747,46,0.8435944970240999
12700,30881,34,0.8435607655192513
12800,31034,44,0.8432686730682477
12900,31157,44,0.8426998748274867
13000,31267,43,0.8421658617711965
13100,31449,47,0.841934560717352
13200,31825,70,0.8419481539670071
13300,31997,42,0.8417664156014626
13400,32108,29,0.8418151239566464
13500,32324,75,0.8407994060141072
13600,32598,55,0.8406957482054114
13700,32846,54,0.840589417280643
13800,33106,84,0.8398779677399867
13900,33312,58,0.83960734870317
14000,33547,65,0.8391510418219215
14100,33726,67,0.838373954812311
14200,33991,75,0.8377511694272013
14300,34289,91,0.8368281373035085
14400,34813,92,0.8379915548789245
14500,35147,82,0.8380231598713973
14600,35490,42,0.8390250774866159
14700,35791,49,0.8392333268140035
14800,36012,56,0.8389425746973231
14900,36417,57,0.8399373918774199
15000,36534,39,0.8395740953632232
15100,36685,63,0.8386534005724411
15200,37016,93,0.838259131186514
15300,37258,76,0.837806645552633
15400,37565,102,0.8375615599627313
15500,37834,77,0.8378971295659988
15600,38260,91,0.8383429168844746
15700,38530,72,0.8384375811056319
15800,38843,95,0.838374996781917
15900,38987,47,0.8382024777489933
16000,39259,74,0.838100817646909
16100,39465,54,0.8381857341948562
16200,39572,34,0.8379409683614677
16300,39806,86,0.8369341305330855
16400,40038,85,0.836455367400969
16500,40161,32,0.8366574537486616
16600,40274,39,0.8363460296965785
16700,40453,38,0.8364027389810397
16800,40815,54,0.836849197598922
16900,41062,34,0.8372461156300229
17000,41310,39,0.8375453885257806
17100,41607,50,0.83786382099166
17200,41941,38,0.8384158699124962
17300,42183,28,0.8388687385913757
17400,42277,41,0.838351822503962
17500,42396,21,0.8384517407302575
17600,42440,22,0.8381950989632422
17700,42614,58,0.8375416529778946
17800,42764,41,0.8373632026938547
17900,42916,43,0.8371236834746948
18000,43044,50,0.8367019793699471
18100,43229,43,0.8365911772189966
18200,43547,53,0.8367510965164076
18300,43831,89,0.836097739043143
18400,44197,63,0.8367309998416183
18500,44680,57,0.8377126230975828
18600,45063,53,0.8383596298515412
18700,45284,56,0.8383755851956541
18800,45503,51,0.8384062589279828
18900,45713,29,0.8388204668256295
19000,46021,45,0.8391169248821191
19100,46398,37,0.8399931031509978
19200,46840,69,0.8403501280956448
19300,47333,65,0.841104514820527
19400,47779,64,0.8415412628979259
19500,48211,58,0.842048495156707
19600,48675,36,0.8429994863893169
19700,49097,48,0.843513860317331
19800,49410,39,0.8440194292653309
19900,49679,26,0.8445218301495602
20000,50007,47,0.84476173335733
20100,50131,50,0.8443677564780275
20200,50368,103,0.8432337992376112
20300,50558,59,0.8432295581312552
20400,50710,47,0.843068428317886
20500,50843,20,0.8432035875145054
20600,50944,22,0.8432003768844221
20700,51147,49,0.8431579564783859
20800,51402,61,0.8428465818450644
20900,51603,34,0.8430130031199736
21000,51761,54,0.8426807828287707
21100,51974,50,0.8426713356678339
21200,52233,41,0.84287710834147
21300,52423,41,0.8428170841043053
21400,52490,17,0.8427700514383692
21500,52562,26,0.8426049237091435
21600,52707,21,0.8425825791640579
21700,52802,54,0.8418620506798985
21800,53201,54,0.8421082310482886
21900,53720,86,0.8422561429635145
22000,54085,63,0.8425441434778589
22100,54171,36,0.8423695335142419
22200,54369,83,0.8416009122845739
22300,54650,78,0.841427264409881
22400,55011,82,0.8415044263874498
