time,total_packets,active_flows,hit_rate
0,1,0,1.0
50,248,47,0.8104838709677419
100,435,42,0.8413793103448276
150,595,33,0.8487394957983193
200,860,48,0.85
250,954,45,0.8238993710691824
300,1162,55,0.8098106712564543
350,1337,26,0.8204936424831712
400,1424,33,0.8103932584269663
450,1585,29,0.8157728706624605
500,1786,51,0.8107502799552072
550,1907,56,0.7949659150498165
600,2089,40,0.7927237912876974
650,2215,37,0.7923250564334086
700,2373,35,0.7939317319848294
750,2555,32,0.8019569471624266
800,2641,23,0.8027262400605831
850,2698,16,0.8024462564862861
900,2868,24,0.8075313807531381
950,3007,26,0.8081143997339542
1000,3089,25,0.8060861120103593
1050,3271,31,0.8104555181901559
1100,3494,30,0.8168288494562106
1150,4021,149,0.8062670977368813
1200,4194,36,0.8082975679542204
1250,4305,22,0.8088269454123113
1300,4453,27,0.8102402874466652
1350,4544,32,0.8080985915492958
1400,4770,35,0.8109014675052411
1450,4893,30,0.8087063151440834
1500,5017,29,0.8084512656966315
1550,5128,23,0.8090873634945398
1600,5243,21,0.8085065802021744
1650,5333,14,0.8094880930058128
1700,5416,18,0.8092688330871491
1750,5799,30,0.8172098637696155
1800,5946,40,0.8160107635385133
1850,6083,36,0.8157159296399803
1900,6252,21,0.8181381957773513
1950,6371,30,0.8174540888400565
2000,6433,11,0.8176589460593813
2050,6473,22,0.8155414799938205
2100,6630,24,0.8167420814479638
2150,6763,51,0.8133964217063433
2200,6886,47,0.8107754864943363
2250,6997,31,0.8096326997284551
2300,7113,22,0.810487839167721
2350,7261,59,0.8066382041041179
2400,7334,22,0.8055631306244887
2450,7478,55,0.8020861192832308
2500,7613,45,0.7998161040325759
2550,7708,32,0.799429164504411
2600,7807,42,0.7978737030869733
2650,7857,15,0.7972508591065293
2700,7973,49,0.7943057820142982
2750,8067,40,0.7932316846411306
2800,8201,38,0.7933178880624314
2850,8295,24,0.7926461723930078
2900,8393,27,0.7920886452996545
2950,8606,49,0.7924703695096444
3000,8782,43,0.7940104759735823
3050,8815,11,0.7931934203062961
3100,8954,52,0.7907080634353362
3150,9027,31,0.7898526642295336
3200,9118,30,0.7890984865101996
3250,9240,44,0.7880952380952381
3300,9660,35,0.7946169772256729
3350,9827,29,0.79535972321156
3400,9982,34,0.7957323181727108
3450,10333,46,0.7990902932352657
3500,10505,26,0.8006663493574488
3550,10909,28,0.8063067192226602
3600,12210,30,0.8252252252252252
3650,12319,21,0.8256351976621479
3700,12393,19,0.8251432260146857
3750,13185,47,0.832385286310201
3800,13269,42,0.8308840153741804
3850,13718,34,0.8340866015454148
3900,14238,44,0.8376176429273774
3950,14326,26,0.8373586486109172
4000,15183,32,0.8446947243627742
4050,15233,22,0.8438259042867459
4100,15511,31,0.8450132164270517
4150,15772,20,0.8465635303068729
4200,15923,48,0.8453180933241223
4250,16041,16,0.8456455333208652
4300,16128,19,0.8451760912698413
4350,16406,40,0.8449347799585517
4400,16505,63,0.8420478642835504
4450,16705,24,0.8428015564202335
4500,16783,23,0.8424000476672824
4550,16840,22,0.8419833729216152
4600,16896,20,0.8414417613636364
4650,17003,15,0.8417926248309122
4700,17106,17,0.8420437273471296
4750,17194,20,0.8418634407351402
4800,17272,31,0.8409564613246874
4850,17367,32,0.8405021016871077
4900,17411,14,0.8402733903853885
4950,17441,10,0.8399174359268391
5000,17484,12,0.8396247998169756
5050,17551,19,0.8390974873226597
5100,17598,20,0.838447550858052
5150,17682,31,0.837461825585341
5200,17729,19,0.8369902419764228
5250,17803,23,0.8364320620120205
5300,17907,19,0.8365443681241972
5350,18000,14,0.8366111111111111
5400,18063,25,0.8358522947461662
5450,18098,17,0.8351751574759642
5500,18149,27,0.8340404429996143
5550,18180,14,0.8337733773377338
5600,18287,27,0.8333789030458796
5650,18397,43,0.8321465456324401
5700,18522,26,0.8324155058848937
5750,18633,28,0.8321257983148178
5800,18733,22,0.8317407783056638
5850,18805,25,0.8313746344057431
5900,18866,15,0.831336796353228
5950,18918,17,0.8311132254995243
6000,19012,33,0.8304228908058069
6050,19097,21,0.8302874797088547
6100,19225,21,0.8305851755526658
6150,19344,19,0.830955334987593
6200,19486,41,0.830339731088987
6250,19633,21,0.8306932205979728
6300,19783,53,0.8294495273719861
6350,19905,19,0.829791509670937
6400,20047,36,0.8293510250910361
6450,20196,29,0.8296197266785502
6500,20279,13,0.8299225800088762
6550,20418,29,0.8299539621902243
6600,20562,23,0.8305612294523879
6650,20738,18,0.8316134632076382
6700,20869,20,0.8319516986918396
6750,20953,31,0.8311458979621057
6800,21027,25,0.8305987539829742
6850,21103,18,0.8303558735724779
6900,21142,21,0.8297228266010784
6950,21187,18,0.8292821069523765
7000,21240,23,0.8286252354048964
7050,21291,13,0.8283312197642196
7100,21337,17,0.8278108450110138
7150,21418,15,0.827668316369409
7200,21493,15,0.8276648211045456
7250,21637,26,0.8277487636918242
7300,21729,23,0.8276036633071011
7350,21799,20,0.8276526446167255
7400,21868,20,0.8272361441375526
7450,21977,45,0.8264094280384038
7500,22044,14,0.8264380330248594
7550,22148,27,0.8261694058154235
7600,22231,17,0.8261436732490666
7650,22302,29,0.8255761815083849
7700,22383,25,0.8251351472099361
7750,22451,23,0.8242839962585186
7800,22549,21,0.8242050645261431
7850,22699,22,0.8247059341821226
7900,22739,14,0.8244865649324948
7950,22824,11,0.8242201191728006
8000,22890,22,0.8238095238095238
8050,22970,21,0.8235524597300827
8100,23059,20,0.8234095147231016
8150,23165,28,0.8230951867040794
8200,23304,38,0.8226484723652592
8250,23495,53,0.8221323685890615
8300,23582,22,0.8220252735136969
8350,23653,38,0.8210797784636198
8400,23729,28,0.8207256942981163
8450,23840,20,0.8208473154362416
8500,23974,37,0.8204721781930424
8550,24066,16,0.8203689852904512
8600,24094,15,0.8202042002158214
8650,24154,21,0.819905605696779
8700,24176,8,0.8196558570483123
8750,24234,13,0.81946851530907
8800,24263,6,0.8194782178625891
8850,24332,19,0.8192092717409173
8900,24367,16,0.8188533672589978
8950,24432,21,0.8183939096267191
9000,24537,20,0.8184374617923952
9050,24610,16,0.8182852498984152
9100,24696,34,0.8176627793974732
9150,24812,31,0.8175076575850395
9200,24900,23,0.8171887550200804
9250,25003,18,0.8174619045714514
9300,25101,22,0.8173379546631608
9350,25165,17,0.8171269620504669
9400,25217,12,0.8168299163262879
9450,25365,40,0.8164005519416518
9500,25475,32,0.8159764474975466
9550,25595,26,0.8157843328775152
9600,25633,5,0.815823352709398
9650,25764,26,0.8156730321378668
9700,25829,15,0.8157497386658408
9750,25908,14,0.8159255828315578
9800,25993,31,0.8154887854422345
9850,26096,34,0.815220723482526
9900,26178,19,0.8151883260753304
9950,26278,28,0.8150924727909278
10000,26363,19,0.8151955392026704
10050,26433,36,0.8145121628267695
10100,26590,25,0.8150432493418578
10150,26652,15,0.814985742158187
10200,26771,50,0.8140151656643383
10250,26865,37,0.8139586823003908
10300,26988,29,0.8139914035867793
10350,27154,38,0.8141341975399573
10400,27243,28,0.8141173879528686
10450,27361,21,0.8143708197799788
10500,27437,24,0.814046725225061
10550,27559,26,0.8141441997169708
10600,27660,24,0.8139551699204628
10650,27738,17,0.8138654553320355
10700,27788,17,0.813552612638549
10750,27850,28,0.8129982046678635
10800,27931,37,0.8124664351437471
10850,28011,29,0.8120024276177216
10900,28098,34,0.8114100647732935
10950,28148,15,0.8110700582634646
11000,28232,17,0.8111008784358175
11050,28354,24,0.8112082951259082
11100,28484,22,0.8114380002808594
11150,28585,14,0.8117194332691972
