Time,Active_Flows,Hit_Rate
0,0,1.0
100,69,0.8413793103448276
200,72,0.8648648648648649
300,97,0.8356521739130435
400,56,0.8390070921985816
500,80,0.832074375363161
600,98,0.8189134808853119
700,55,0.8303917348256564
800,44,0.8370570107858244
900,37,0.8375451263537906
1000,48,0.8418300653594771
1100,50,0.8471849865951743
1200,160,0.839043628296771
1300,55,0.8404964376005516
1400,52,0.8409189423493715
1500,72,0.8397085610200364
1600,41,0.8414823438106325
1700,28,0.8424503559385538
1800,45,0.8484326558732346
1900,67,0.8464573401282262
2000,47,0.8485324124941139
2100,32,0.8465935424069211
2200,70,0.8448683821354629
2300,75,0.8402519324363011
2400,75,0.8376775617156255
2500,80,0.833444995310197
2600,75,0.8312703583061889
2700,54,0.8311837568637467
2800,70,0.8286282800646686
2900,60,0.8286231884057971
3000,46,0.8280954631379962
3100,70,0.8284319291472693
3200,77,0.8261497445012219
3300,66,0.8252469336806686
3400,56,0.8306061541628075
3500,56,0.8349809141626701
3600,62,0.8364738187671622
3700,48,0.8569332355099046
3800,38,0.8615898152460798
3900,83,0.8606785526216806
4000,68,0.8667739002727464
4100,48,0.87248322147651
4200,44,0.8751905487804879
4300,61,0.8738417230152767
4400,41,0.8731347904154542
4500,102,0.8702234603040029
4600,46,0.8710291493158834
4700,34,0.8702005561142993
4800,31,0.8706816059757236
4900,47,0.8697537287547693
5000,35,0.8693181818181818
5100,23,0.868926489081971
5200,30,0.8680113636363637
5300,49,0.8664673361164391
5400,38,0.8661118248338268
5500,39,0.8657030514481918
5600,42,0.8639594468014766
5700,40,0.8631740129060483
5800,59,0.8622217419494272
5900,39,0.8620616025196178
6000,36,0.8616558889006679
6100,46,0.8608933550797074
6200,37,0.860962288686606
6300,55,0.860463922816381
6400,71,0.859424758631148
6500,52,0.8596797525814336
6600,36,0.8601508950145471
6700,41,0.8606653049314269
6800,33,0.861708754612104
6900,55,0.860499405469679
7000,38,0.8597379251620229
7100,39,0.8590407990200697
7200,38,0.8581204593391142
7300,30,0.8579008610658599
7400,37,0.858051433311826
7500,37,0.8576333257038223
7600,59,0.8569352348078845
7700,39,0.8569176014776771
7800,47,0.8565359330978042
7900,53,0.8555491355171341
8000,35,0.8559042295673606
8100,35,0.8555229630926842
8200,39,0.8551373435326843
8300,45,0.8552484284853181
8400,82,0.8543111148921689
8500,55,0.8540971841094271
8600,45,0.8539325842696629
8700,56,0.8533322253614758
8800,35,0.852997184964398
8900,22,0.8528295660782049
9000,25,0.8526341744061806
9100,41,0.851935193519352
9200,43,0.8516653127538587
9300,54,0.8510072522159549
9400,34,0.8509957610173559
9500,39,0.8506656069938406
9600,52,0.8500512982400757
9700,55,0.8498925571400664
9800,33,0.8501009160068312
9900,24,0.8503107268305863
10000,57,0.8496033114867195
10100,35,0.8496515480406718
10200,53,0.8490594602778093
10300,38,0.8494502607977785
10400,70,0.8484238765928906
10500,59,0.8487741935483871
10600,46,0.8492083805623606
10700,43,0.8493643298220124
10800,41,0.8492201039861352
10900,35,0.8488292630291695
11000,71,0.8473145962955017
11100,51,0.8466408222783369
11200,30,0.8465677771090735
11300,44,0.846701754385965
11400,34,0.8468807755344004
11500,35,0.8468806447130749
11600,44,0.846970428069208
11700,55,0.8465675527541793
11800,47,0.8465073529411765
11900,33,0.8463051514226608
12000,43,0.8457827260458839
12100,40,0.8456141528752223
12200,66,0.8442573662056524
12300,68,0.8430499235524829
12400,37,0.8431197513720823
12500,45,0.8432208951305946
12600,46,0.8435944970240999
12700,34,0.8435607655192513
12800,44,0.8432686730682477
12900,44,0.8426998748274867
13000,43,0.8421658617711965
13100,47,0.841934560717352
13200,70,0.8419481539670071
13300,42,0.8417664156014626
13400,29,0.8418151239566464
13500,75,0.8407994060141072
13600,55,0.8406957482054114
13700,54,0.840589417280643
13800,84,0.8398779677399867
13900,58,0.83960734870317
14000,65,0.8391510418219215
14100,67,0.838373954812311
14200,75,0.8377511694272013
14300,91,0.8368281373035085
14400,92,0.8379915548789245
14500,82,0.8380231598713973
14600,42,0.8390250774866159
14700,49,0.8392333268140035
14800,56,0.8389425746973231
14900,57,0.8399373918774199
15000,39,0.8395740953632232
15100,63,0.8386534005724411
15200,93,0.838259131186514
15300,76,0.837806645552633
15400,102,0.8375615599627313
15500,77,0.8378971295659988
15600,91,0.8383429168844746
15700,72,0.8384375811056319
15800,95,0.838374996781917
15900,47,0.8382024777489933
16000,74,0.838100817646909
16100,54,0.8381857341948562
16200,34,0.8379409683614677
16300,86,0.8369341305330855
16400,85,0.836455367400969
16500,32,0.8366574537486616
16600,39,0.8363460296965785
16700,38,0.8364027389810397
16800,54,0.836849197598922
16900,34,0.8372461156300229
17000,39,0.8375453885257806
17100,50,0.83786382099166
17200,38,0.8384158699124962
17300,28,0.8388687385913757
17400,41,0.838351822503962
17500,21,0.8384517407302575
17600,22,0.8381950989632422
17700,58,0.8375416529778946
17800,41,0.8373632026938547
17900,43,0.8371236834746948
18000,50,0.8367019793699471
18100,43,0.8365911772189966
18200,53,0.8367510965164076
18300,89,0.836097739043143
18400,63,0.8367309998416183
18500,57,0.8377126230975828
18600,53,0.8383596298515412
18700,56,0.8383755851956541
18800,51,0.8384062589279828
18900,29,0.8388204668256295
19000,45,0.8391169248821191
19100,37,0.8399931031509978
19200,69,0.8403501280956448
19300,65,0.841104514820527
