timeout,multiplier,max_packet,99_packet,95_packet,mean_packet,median_packet,all_hr,main_hr,max_cache,99_cache,95_cache,mean_cache,median_cache
10,1,252.0,34.0,24.0,11.547592664413541,10.0,0.8555371579659151,0.8411919955560394,236.0,30.0,20.0,8.854614906335224,8.0
10,11,252.0,34.0,24.0,11.547592664413541,10.0,0.908490486499848,0.8411920275941929,587.0,144.0,115.0,70.65360654022076,67.0
10,21,252.0,34.0,24.0,11.547592664413541,10.0,0.9179935612017732,0.8411920377227231,656.0,217.0,178.0,115.30070918056403,111.0
10,31,252.0,34.0,24.0,11.547592664413541,10.0,0.9221612733513712,0.8411920429448874,718.0,280.0,234.0,156.37146717885264,151.0
10,41,252.0,34.0,24.0,11.547592664413541,10.0,0.9252365796505893,0.8411920471715727,746.0,339.0,287.0,195.57487949470885,190.0
10,51,252.0,34.0,24.0,11.547592664413541,10.0,0.9268855131471976,0.841192049584293,800.0,395.0,337.0,233.55675906944674,227.0
10,61,252.0,34.0,24.0,11.547592664413541,10.0,0.927765834118096,0.8411920509174808,845.0,449.0,385.0,270.90201981026956,264.0
10,71,252.0,34.0,24.0,11.547592664413541,10.0,0.9285648164330074,0.8411920521559315,883.0,501.0,433.0,307.85786531725364,300.0
10,81,252.0,34.0,24.0,11.547592664413541,10.0,0.9298856252585588,0.8411920542651284,925.0,553.0,479.0,344.3045259509607,336.0
10,91,252.0,34.0,24.0,11.547592664413541,10.0,0.9305653444543506,0.8411920553818439,961.0,604.0,524.0,380.18032701103783,372.0
20,1,382.0,52.0,38.0,19.69371673504668,18.0,0.8740091042840621,0.8590327322133696,374.0,45.0,32.0,15.1126997377286,13.0
20,11,382.0,52.0,38.0,19.69371673504668,18.0,0.9192311078349584,0.8590327637640528,645.0,217.0,179.0,116.17579288255807,112.0
20,21,382.0,52.0,38.0,19.69371673504668,18.0,0.9258425018488796,0.8590327716008026,745.0,340.0,288.0,196.3734318479181,190.0
20,31,382.0,52.0,38.0,19.69371673504668,18.0,0.9279835960914756,0.8590327744471727,848.0,450.0,386.0,271.37417189137346,264.0
20,41,382.0,52.0,38.0,19.69371673504668,18.0,0.9300991051845788,0.8590327774307884,924.0,553.0,479.0,344.340532476067,337.0
20,51,382.0,52.0,38.0,19.69371673504668,18.0,0.9325564882831096,0.8590327811315572,989.0,653.0,569.0,415.25325471111665,407.0
20,61,382.0,52.0,38.0,19.69371673504668,18.0,0.9339959047644182,0.8590327834272696,1114.0,749.0,654.0,483.6475557844757,473.0
20,71,382.0,52.0,38.0,19.69371673504668,18.0,0.9346997985622758,0.859032784586751,1185.0,845.0,738.0,551.1798483206934,540.0
20,81,382.0,52.0,38.0,19.69371673504668,18.0,0.9363634376529192,0.8590327874291165,1249.0,935.0,821.0,617.1596125724502,606.0
20,91,382.0,52.0,38.0,19.69371673504668,18.0,0.9369059636968888,0.8590327883884454,1291.0,1024.0,903.0,682.360306437194,670.0
30,1,339.0,66.0,50.0,27.15617331557176,25.0,0.8877928531794372,0.8701101229436535,335.0,55.0,41.0,20.575843090513917,19.0
30,11,339.0,66.0,50.0,27.15617331557176,25.0,0.9238834443300752,0.8701101505878603,702.0,281.0,234.0,157.40749666970484,152.0
30,21,339.0,66.0,50.0,27.15617331557176,25.0,0.928186134658609,0.8701101557373281,836.0,451.0,386.0,272.33889258921687,265.0
30,31,339.0,66.0,50.0,27.15617331557176,25.0,0.9311609336327809,0.8701101596739527,945.0,604.0,526.0,381.059734978616,373.0
30,41,339.0,66.0,50.0,27.15617331557176,25.0,0.9341036496639324,0.8701101639178183,1099.0,750.0,655.0,484.3412413237047,474.0
30,51,339.0,66.0,50.0,27.15617331557176,25.0,0.9361708085813258,0.8701101671329793,1201.0,890.0,780.0,584.7123501367174,574.0
30,61,339.0,66.0,50.0,27.15617331557176,25.0,0.9369871860121188,0.8701101684608397,1284.0,1025.0,904.0,682.438862791839,671.0
30,71,339.0,66.0,50.0,27.15617331557176,25.0,0.9383976770941942,0.8701101708379756,1392.0,1157.0,1023.0,778.4325527588867,765.0
30,81,339.0,66.0,50.0,27.15617331557176,25.0,0.9398215654491786,0.8701101733507152,1527.0,1286.9700000000012,1141.0,872.8362721727547,858.0
30,91,339.0,66.0,50.0,27.15617331557176,25.0,0.943807505968208,0.8701101810618997,1648.0,1412.0,1257.0,962.983970763514,947.0
40,1,494.0,79.0,62.0,34.204668321770804,32.0,0.901800814330927,0.878280741627791,457.0,65.0,49.0,25.494013782222325,23.0
40,11,494.0,79.0,62.0,34.204668321770804,32.0,0.9266178976022904,0.8782807627403176,735.0,340.0,287.0,196.3834195688995,191.0
40,21,494.0,79.0,62.0,34.204668321770804,32.0,0.9304770624615684,0.8782807673775889,897.0,553.0,480.0,345.8104364370403,338.0
40,31,494.0,79.0,62.0,34.204668321770804,32.0,0.93421318571833,0.8782807723853269,1098.0,751.0,656.0,485.2118842664563,475.0
40,41,494.0,79.0,62.0,34.204668321770804,32.0,0.9365126987949124,0.878280775760511,1235.0,937.0,822.0,618.2159910902806,607.0
40,51,494.0,79.0,62.0,34.204668321770804,32.0,0.938237396558552,0.8782807784569335,1352.0,1115.0,985.0,747.3441727186246,735.0
40,61,494.0,79.0,62.0,34.204668321770804,32.0,0.9402303381105676,0.8782807817665332,1531.0,1288.0,1142.0,873.414789206246,859.0
40,71,494.0,79.0,62.0,34.204668321770804,32.0,0.9455123635153596,0.8782807917093397,1675.0,1455.0,1293.0,991.5246061393536,976.0
40,81,494.0,79.0,62.0,34.204668321770804,32.0,0.9473821123699722,0.8782807957073058,1828.0,1605.0,1435.0,1100.774553933966,1085.0
40,91,494.0,79.0,62.0,34.204668321770804,32.0,0.9476550400998274,0.8782807963147782,1945.0,1750.0,1571.0,1208.8282558760063,1191.0
50,1,431.0,91.0,72.0,40.811792561792565,38.0,0.9075929853501928,0.8876286971505358,424.0,72.0,55.0,29.278254215754217,27.0
50,11,431.0,91.0,72.0,40.811792561792565,38.0,0.9277914895500948,0.8876287142831809,781.0,397.0,337.0,234.5695743820744,228.0
50,21,431.0,91.0,72.0,40.811792561792565,38.0,0.9335099726806024,0.8876287210243375,972.0,653.0,569.0,416.4801051051051,408.0
50,31,431.0,91.0,72.0,40.811792561792565,38.0,0.9363269817744598,0.8876287247902889,1197.0,890.0,782.0,586.1747372372372,575.0
50,41,431.0,91.0,72.0,40.811792561792565,38.0,0.9383000969407724,0.8876287276328573,1351.0,1114.0,987.0,748.3609667359667,736.0
50,51,431.0,91.0,72.0,40.811792561792565,38.0,0.941930729580172,0.8876287333680736,1546.0,1332.0,1183.0,904.5054573804574,889.0
50,61,431.0,91.0,72.0,40.811792561792565,38.0,0.9472450703725942,0.887628743186418,1722.0,1533.0,1366.0,1046.3997892122893,1030.0
50,71,431.0,91.0,72.0,40.811792561792565,38.0,0.9476153662935316,0.8876287439447863,1922.0,1718.0,1537.0,1181.8682143682145,1165.0
50,81,431.0,91.0,72.0,40.811792561792565,38.0,0.9479824891128618,0.8876287447073153,2068.0,1890.3699999999953,1708.0,1316.616063178563,1298.5
50,91,431.0,91.0,72.0,40.811792561792565,38.0,0.9483133479138192,0.8876287454038022,2327.0,2072.0,1879.8499999999913,1450.1002974127973,1430.0
