timeout,multiplier,max_packet,99_packet,95_packet,mean_packet,median_packet,all_hr,main_hr,max_cache,99_cache,95_cache,mean_cache,median_cache
10,,252.0,34.0,24.0,11.547592664413541,10.0,0.9120569976980404,0.8411920311388361,699.0,444.0,389.0,276.6180582488411,273.0
20,,382.0,52.0,38.0,19.69371673504668,18.0,0.9139401190656304,0.859032758359819,696.0,440.0,386.0,273.48709068196484,270.0
30,,339.0,66.0,50.0,27.15617331557176,25.0,0.9156887958556292,0.8701101422342229,686.0,438.0,384.0,271.10103063871554,268.0
40,,494.0,79.0,62.0,34.204668321770804,32.0,0.9173177555176956,0.8782807533436332,677.0,435.0,381.0,268.8977702498898,266.0
50,,431.0,91.0,72.0,40.811792561792565,38.0,0.9195647955155108,0.8876287062665982,669.0,430.0,376.0,265.07199988449986,262.0
60,,523.0,103.0,81.0,47.17054330545379,44.0,0.9219839609440056,0.8952821699320498,668.0,432.0,378.0,265.66643049699314,263.0
70,,564.0,113.0,90.0,53.315613682092554,50.0,0.9239477061533778,0.9012047691680395,671.0,436.0,381.0,266.9972434607646,264.0
80,,571.0,124.0,98.0,59.20502284153256,56.0,0.9253202671134004,0.9055340840036771,664.0,432.0,377.0,264.0359036753059,262.0
90,,451.0,132.0,106.0,64.54307898674095,61.0,0.9261433119389412,0.908349607166748,677.0,434.0,379.0,263.73291028220603,262.0
100,,454.0,141.0,114.0,69.64746306265033,66.0,0.9266244774428216,0.9104497141263688,652.0,414.0,361.0,251.91996907570726,249.0
110,,534.0,150.0,121.0,74.49662123468102,71.0,0.9269800810121344,0.9117138187632577,650.0,411.7699999999968,359.0,250.52542664070552,248.0
130,,606.0,166.0,134.0,83.98691444279005,80.0,0.9275678846458286,0.913794602378764,644.0,409.0,357.0,248.03418852365135,246.0
150,,618.0,181.0,147.0,93.24258389646089,89.0,0.9280649237424264,0.9155324251382498,636.0,407.0,354.0,245.8015404879166,244.0
170,,633.0,196.7699999999968,160.0,102.29243500171802,98.0,0.9284705435078195,0.9169840022509186,628.0,405.0,352.0,243.78132516321153,242.0
190,,643.0,210.0,172.0,111.1143912495705,107.0,0.9288262981834652,0.9182205047874673,622.0,402.0,350.0,241.9179647233994,240.0
210,,654.0,223.0,184.0,119.72757988775628,115.0,0.9291746990175922,0.9192710459178466,620.0,400.0,348.0,240.1783014545871,238.0
230,,683.0,236.7699999999968,195.0,128.1232963005383,123.0,0.9295202288314004,0.9201476134081007,614.0,399.0,347.0,238.52336502118888,236.0
250,,691.0,249.0,207.0,136.4821039972512,132.0,0.9298900867647524,0.9209412739663967,600.0,397.0,345.0,236.87275226205475,235.0
270,,700.0,261.0,218.0,144.7757702439583,140.0,0.9302656363699644,0.9217049651254721,595.0,397.0,342.0,235.20662008933684,233.0
290,,714.0,275.0,229.0,152.96274768067804,148.0,0.930655289232883,0.9224259436010227,596.0,393.0,341.0,233.5243385637384,232.0
310,,728.0,287.0,240.0,161.05397434429045,156.0,0.931060959367054,0.9231045116076009,599.0,391.0,339.0,231.8218703470393,230.0
350,,735.0,311.7699999999968,262.0,176.95201007902875,171.0,0.9318247011406362,0.9243249971834372,587.0,388.0,335.0,228.512512885122,227.0
390,,744.0,334.0,283.0,192.6724888328943,187.0,0.9325223087093308,0.9253786110632072,583.0,383.7699999999968,331.0,225.41261023937693,224.0
430,,773.0,357.0,304.0,208.0455560645974,202.0,0.933354602389122,0.9261357042815844,575.0,382.0,329.0,222.905566372695,222.0
470,,785.0,379.0,323.0,223.3158859237201,217.0,0.9340795602040116,0.9267178164125651,575.0,380.0,326.0,220.8123067231703,220.0
510,,811.0,402.0,343.0,238.43646203184056,232.0,0.9345377649731392,0.9271515923827627,582.0,376.0,324.0,218.94124384377506,218.0
550,,818.0,424.0,363.0,253.36754094605428,246.0,0.9347124942623666,0.9275090091023342,572.0,375.0,322.0,217.08819150154622,216.0
590,,837.0,445.0,381.0,268.29529836215784,261.0,0.9348698966921264,0.9278242168034648,571.0,373.0,320.0,215.30059557897147,214.0
630,,866.0,467.0,401.0,283.1213205818348,276.0,0.9350090656244224,0.9281280411535417,574.0,371.0,319.0,213.5977264918108,213.0
670,,874.0,488.0,420.0,297.9235196426526,290.0,0.9351397222333172,0.9284938694128063,565.0,369.0,316.0,211.95092200206162,211.0
710,,890.0,508.0,439.0,312.69153017981904,305.0,0.9352804022289392,0.9289119804303297,573.0,368.0,315.0,210.2910892223113,209.0
790,,918.0,547.0,476.0,341.8432882831291,334.0,0.9356110732533782,0.9298817300295105,565.0,363.0,311.0,206.9314511510709,206.0
870,,954.0,591.0,512.0,370.63990379108924,363.0,0.9359504077075512,0.9304958763414811,561.0,361.0,307.0,203.73101592028405,203.0
950,,980.0,630.7699999999968,548.0,399.1477493986943,390.5,0.9366140667201952,0.9315091448060114,562.0,356.0,304.0,200.7011510708968,200.0
1030,,999.0,672.0,584.0,427.3486714007559,418.0,0.9371978912204652,0.9327742568823607,561.0,353.0,301.0,197.8903332951552,198.0
1110,,1028.0,709.0,618.0,455.0638815714122,445.0,0.9374567867369338,0.933586805570168,563.0,350.0,298.0,195.55712404077426,195.0
1190,,1115.0,747.0,652.0,482.28035162066203,472.0,0.9376909008148612,0.9339159654661597,551.0,348.0,296.0,193.55663726949948,194.0
1270,,1142.0,786.7699999999968,685.0,509.43557439010425,499.0,0.937904363694004,0.9342165662702258,547.0,345.7699999999968,294.0,191.5060130569236,191.0
1350,,1158.0,824.0,719.0,536.4381514145001,526.0,0.9382485335508192,0.9344975737482188,550.0,343.0,292.0,189.4558183484137,190.0
1430,,1208.0,863.0,753.0,563.3821727179018,552.0,0.9392221116515626,0.9350668420558598,550.0,339.0,289.0,187.44525254839078,188.0
1510,,1226.0,899.0,787.0,590.1839422746535,579.0,0.9403601438109188,0.9360818738300948,548.0,336.0,287.0,185.22906883518496,186.0
1670,,1261.0,971.0,853.0,642.5599301340053,631.0,0.9425654903659892,0.9365093049740862,538.0,332.0,282.0,180.81476921314854,182.0
1830,,1309.0,1041.0,918.0,694.6456591455733,683.0,0.9447382986907796,0.9369545667508042,529.0,325.0,276.0,175.11055434658115,176.0
1990,,1376.0,1111.0,984.0,746.3411980300081,734.0,0.9467494232397208,0.9379400331211364,524.0,317.7699999999968,268.0,168.08280838391937,169.0
2150,,1423.0,1182.0,1046.0,797.2663497881114,784.0,0.946943393401962,0.9384180829493827,516.0,310.0,261.0,160.63543694880312,162.0
2310,,1521.0,1250.0,1110.0,847.8625300652847,833.0,0.9470836200785864,0.9387090632550853,505.0,301.0,253.0,153.47640590997594,155.0
2470,,1555.0,1319.0,1172.0,898.084726835414,883.0,0.9472089375970638,0.9402268243185585,500.0,296.0,246.0,146.54976520444393,148.0
2630,,1624.0,1386.0,1235.0,946.9521246134464,931.0,0.9473253902106972,0.9423395407976144,493.0,287.0,241.0,140.95344175924865,142.0
2790,,1695.0,1455.7699999999968,1295.0,994.0280322987057,978.0,0.9474256744467456,0.9444617265730075,490.0,285.0,236.0,137.00272019241783,138.0
2950,,1743.0,1520.0,1354.0,1039.4409861413355,1023.0,0.9476118374484708,0.9466740220814345,484.0,282.0,234.0,134.4650956362387,136.0
3110,,1798.0,1580.0,1411.0,1083.2127190470737,1067.0,0.9477840986675996,0.9472520537838474,484.0,281.0,232.0,133.4683025999313,135.0
3430,,1899.0,1699.0,1520.0,1170.0090195853854,1153.0,0.9479884447980108,0.9475041998398542,484.0,279.0,231.0,132.20765089909517,134.0
3750,,2022.0,1810.0,1629.0,1256.3476978582064,1238.0,0.9482470381018144,0.9476971626927635,481.0,278.0,230.0,131.13483564311076,133.0
4070,,2100.0,1922.7699999999968,1738.0,1342.4012713320353,1325.0,0.9500308987265716,0.9479643202366854,480.0,276.7699999999968,228.0,128.99490321841714,130.0
4390,,2267.0,2044.0,1848.0,1427.9896060016035,1409.0,0.9502483407391388,0.9481931959592791,477.0,273.0,224.0,125.07447600503951,127.0
4710,,2415.0,2157.0,1957.8499999999985,1513.2609380368801,1494.0,0.9504049876372354,0.948388878626883,475.0,268.0,220.0,121.32656625816058,123.0
5030,,2525.0,2262.769999999997,2064.0,1597.4495475890506,1576.0,0.9508908952340004,0.9504699134232426,475.0,263.0,215.0,117.16747795212461,119.0
5350,,2641.0,2365.0,2168.8499999999985,1678.8995819493757,1656.0,0.9510796270433794,0.9507232683093133,472.0,262.0,214.0,115.86138472110869,117.0
5670,,2789.0,2472.0,2274.0,1760.0270873897607,1734.0,0.9512074126319556,0.9508619335435644,472.0,262.0,213.0,114.98496735769099,117.0
5990,,2906.0,2587.0,2377.0,1840.9053945710687,1813.0,0.9513409402611692,0.9510958460434479,473.0,262.0,212.0,114.16716298247623,116.0
